"n","c","llr","incoming_probability","rejects","alive_probability"
1,0,0,0.5,FALSE,0.5
1,1,0.693147180559945,0.5,FALSE,0.5
2,0,0,0.25,FALSE,0.25
2,1,0,0.5,FALSE,0.5
2,2,1.38629436111989,0.25,FALSE,0.25
3,0,0,0.125,FALSE,0.125
3,1,0,0.375,FALSE,0.375
3,2,0.169899036795397,0.375,FALSE,0.375
3,3,2.07944154167984,0.125,FALSE,0.125
4,0,0,0.0625,FALSE,0.0625
4,1,0,0.25,FALSE,0.25
4,2,0,0.375,FALSE,0.375
4,3,0.523248143764548,0.25,FALSE,0.25
4,4,2.77258872223978,0.0625,FALSE,0.0625
5,0,0,0.03125,FALSE,0.03125
5,1,0,0.15625,FALSE,0.15625
5,2,0,0.3125,FALSE,0.3125
5,3,0.100677567753444,0.3125,FALSE,0.3125
5,4,0.963723785108788,0.15625,FALSE,0.15625
5,5,3.46573590279973,0.03125,TRUE,0
6,0,0,0.015625,FALSE,0.015625
6,1,0,0.09375,FALSE,0.09375
6,2,0,0.234375,FALSE,0.234375
6,3,0,0.3125,FALSE,0.3125
6,4,0.339798073590795,0.234375,FALSE,0.234375
6,5,1.45551583016184,0.078125,FALSE,0.078125
6,6,4.15888308335967,0,FALSE,0
7,0,0,0.0078125,FALSE,0.0078125
7,1,0,0.0546875,FALSE,0.0546875
7,2,0,0.1640625,FALSE,0.1640625
7,3,0,0.2734375,FALSE,0.2734375
7,4,0.0716735310163155,0.2734375,FALSE,0.2734375
7,5,0.664143143822816,0.15625,FALSE,0.15625
7,6,1.98121603590075,0.0390625,FALSE,0.0390625
7,7,4.85203026391962,0,FALSE,0
8,0,0,0.00390625,FALSE,0.00390625
8,1,0,0.03125,FALSE,0.03125
8,2,0,0.109375,FALSE,0.109375
8,3,0,0.21875,FALSE,0.21875
8,4,0,0.2734375,FALSE,0.2734375
8,5,0.252671539215706,0.21484375,FALSE,0.21484375
8,6,1.0464962875291,0.09765625,FALSE,0.09765625
8,7,2.53101615442807,0.01953125,FALSE,0.01953125
8,8,5.54517744447956,0,FALSE,0
9,0,0,0.001953125,FALSE,0.001953125
9,1,0,0.017578125,FALSE,0.017578125
9,2,0,0.0703125,FALSE,0.0703125
9,3,0,0.1640625,FALSE,0.1640625
9,4,0,0.24609375,FALSE,0.24609375
9,5,0.0556704356635978,0.244140625,FALSE,0.244140625
9,6,0.509697110386192,0.15625,FALSE,0.15625
9,7,1.47096883352062,0.05859375,FALSE,0.05859375
9,8,3.09883576245222,0.009765625,TRUE,0
9,9,6.23832462503951,0,FALSE,0
10,0,0,0.0009765625,FALSE,0.0009765625
10,1,0,0.009765625,FALSE,0.009765625
10,2,0,0.0439453125,FALSE,0.0439453125
10,3,0,0.1171875,FALSE,0.1171875
10,4,0,0.205078125,FALSE,0.205078125
10,5,0,0.2451171875,FALSE,0.2451171875
10,6,0.201355135506889,0.2001953125,FALSE,0.2001953125
10,7,0.822828785050518,0.107421875,FALSE,0.107421875
10,8,1.92744757021758,0.029296875,FALSE,0.029296875
10,9,3.68064207168497,0,FALSE,0
10,10,6.93147180559945,0,FALSE,0
